id,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
33,良,56.0,90.0,28.0,62.0,17.0,20.0,0.59,68.0
34,优,39.0,59.0,23.0,36.0,12.0,23.0,0.7,53.0
35,优,23.0,10.0,13.0,17.0,8.0,27.0,0.67,43.0
36,良,54.0,93.0,37.0,42.0,12.0,29.0,0.84,54.0
37,轻度污染,109.0,160.0,81.0,99.0,31.0,26.0,0.92,65.0
38,良,84.0,152.0,61.0,79.0,20.0,19.0,0.79,59.0
39,良,58.0,106.0,40.0,57.0,22.0,22.0,0.6,54.0
40,良,83.0,97.0,61.0,83.0,33.0,35.0,0.77,52.0
41,良,75.0,58.0,54.0,77.0,23.0,46.0,0.74,42.0
42,良,93.0,96.0,69.0,91.0,20.0,37.0,0.97,61.0
43,轻度污染,128.0,111.0,97.0,133.0,32.0,53.0,1.19,57.0
44,轻度污染,142.0,110.0,107.0,150.0,40.0,61.0,1.35,48.0
45,良,84.0,80.0,62.0,80.0,19.0,56.0,0.97,22.0
46,优,50.0,42.0,35.0,47.0,9.0,39.0,0.87,32.0
47,良,69.0,97.0,48.0,58.0,10.0,34.0,0.76,48.0
48,轻度污染,105.0,123.0,78.0,103.0,19.0,40.0,0.75,54.0
49,轻度污染,122.0,117.0,92.0,127.0,25.0,59.0,1.09,44.0
50,中度污染,178.0,146.0,134.0,179.0,50.0,42.0,1.0,107.0
51,中度污染,177.0,141.0,134.0,181.0,50.0,65.0,1.22,60.0
52,轻度污染,125.0,98.0,94.0,138.0,42.0,55.0,1.15,62.0
53,轻度污染,142.0,87.0,107.0,152.0,40.0,59.0,1.09,55.0
54,良,63.0,55.0,46.0,57.0,17.0,67.0,0.81,22.0
55,良,63.0,37.0,45.0,64.0,16.0,60.0,0.72,38.0
56,轻度污染,124.0,154.0,94.0,135.0,24.0,79.0,1.25,14.0
57,良,61.0,78.0,43.0,53.0,20.0,50.0,0.83,23.0
58,良,56.0,66.0,37.0,60.0,16.0,47.0,0.55,44.0
59,轻度污染,119.0,142.0,90.0,144.0,41.0,67.0,0.81,48.0
60,轻度污染,107.0,122.0,74.0,134.0,37.0,49.0,0.88,71.0
61,良,77.0,101.0,54.0,92.0,22.0,57.0,0.74,44.0
62,良,89.0,128.0,64.0,106.0,29.0,47.0,0.64,60.0
63,良,73.0,116.0,50.0,92.0,31.0,48.0,0.63,55.0
64,良,90.0,142.0,63.0,114.0,41.0,62.0,0.74,44.0
65,良,91.0,118.0,67.0,102.0,28.0,48.0,0.55,68.0
66,良,96.0,114.0,72.0,126.0,29.0,77.0,0.89,48.0
67,轻度污染,134.0,131.0,102.0,176.0,37.0,73.0,0.98,79.0
68,中度污染,167.0,163.0,126.0,191.0,41.0,55.0,0.9,93.0
69,轻度污染,127.0,154.0,96.0,127.0,17.0,59.0,0.98,42.0
70,良,84.0,121.0,47.0,114.0,23.0,42.0,0.53,60.0
71,良,98.0,133.0,58.0,144.0,28.0,68.0,0.66,52.0
72,轻度污染,116.0,139.0,75.0,180.0,60.0,96.0,1.22,50.0
73,轻度污染,113.0,105.0,85.0,169.0,54.0,86.0,1.18,69.0
74,轻度污染,106.0,75.0,76.0,153.0,38.0,82.0,0.97,60.0
75,严重污染,288.0,172.0,118.0,382.0,49.0,87.0,1.14,68.0
76,中度污染,153.0,174.0,72.0,218.0,21.0,48.0,0.58,52.0
77,轻度污染,109.0,183.0,82.0,142.0,43.0,48.0,0.76,74.0
78,良,93.0,153.0,58.0,133.0,33.0,70.0,0.59,58.0
79,良,97.0,127.0,69.0,140.0,36.0,75.0,0.61,73.0
80,良,90.0,90.0,65.0,127.0,31.0,64.0,0.53,78.0
81,轻度污染,106.0,97.0,78.0,103.0,18.0,63.0,1.12,45.0
82,良,89.0,53.0,65.0,93.0,21.0,52.0,0.87,71.0
83,轻度污染,117.0,100.0,77.0,120.0,25.0,52.0,0.84,89.0
84,轻度污染,103.0,119.0,77.0,111.0,23.0,47.0,0.94,69.0
85,中度污染,159.0,158.0,120.0,174.0,24.0,62.0,1.32,27.0
86,良,99.0,108.0,67.0,124.0,21.0,52.0,0.68,65.0
87,良,73.0,61.0,45.0,95.0,33.0,54.0,0.67,83.0
88,轻度污染,115.0,149.0,86.0,141.0,28.0,59.0,0.83,75.0
89,轻度污染,106.0,145.0,77.0,142.0,28.0,56.0,0.84,84.0
90,良,85.0,121.0,60.0,113.0,27.0,46.0,0.65,79.0
91,良,91.0,118.0,49.0,132.0,34.0,65.0,0.6,79.0
92,轻度污染,101.0,147.0,57.0,152.0,28.0,68.0,0.64,64.0
93,良,65.0,57.0,23.0,80.0,23.0,35.0,0.42,84.0
94,良,80.0,83.0,45.0,109.0,36.0,57.0,0.75,71.0
95,轻度污染,104.0,94.0,78.0,124.0,21.0,63.0,0.84,70.0
96,轻度污染,130.0,133.0,91.0,155.0,29.0,67.0,0.89,99.0
97,轻度污染,134.0,153.0,87.0,160.0,34.0,67.0,0.78,115.0
